date,ticker,name,price_per_ounce,market_cap
2016-01-01,GC=F,Gold,1116.4000244140625,234444005126.95312
2016-02-01,GC=F,Gold,1233.9000244140625,259119005126.95312
2016-03-01,GC=F,Gold,1234.199951171875,259181989746.09375
2016-04-01,GC=F,Gold,1289.199951171875,270731989746.09375
2016-06-01,GC=F,Gold,1318.4000244140625,276864005126.9531
2016-07-01,GC=F,Gold,1349.0,283290000000.0
2016-08-01,GC=F,Gold,1306.9000244140625,274449005126.95312
2016-09-01,GC=F,Gold,1313.300048828125,275793010253.90625
2016-10-01,GC=F,Gold,1271.5,267015000000.0
2016-11-01,GC=F,Gold,1170.800048828125,245868010253.90625
2016-12-01,GC=F,Gold,1150.0,241500000000.0
2017-02-01,GC=F,Gold,1252.5999755859375,263045994873.04688
2017-03-01,GC=F,Gold,1247.300048828125,261933010253.90625
2017-04-01,GC=F,Gold,1266.0999755859375,265880994873.04688
2017-05-01,GC=F,Gold,1272.0,267120000000.0
2017-06-01,GC=F,Gold,1240.699951171875,260546989746.09375
2017-07-01,GC=F,Gold,1266.5999755859375,265985994873.04688
2017-08-01,GC=F,Gold,1316.199951171875,276401989746.09375
2017-09-01,GC=F,Gold,1281.5,269115000000.0
2017-11-01,GC=F,Gold,1273.199951171875,267371989746.09375
2017-12-01,GC=F,Gold,1306.300048828125,274323010253.90625
2018-01-01,GC=F,Gold,1339.0,281190000000.0
2018-02-01,GC=F,Gold,1315.5,276255000000.0
2018-03-01,GC=F,Gold,1322.800048828125,277788010253.90625
2018-05-01,GC=F,Gold,1300.0999755859375,273020994873.04688
2018-06-01,GC=F,Gold,1251.300048828125,262773010253.90625
2018-08-01,GC=F,Gold,1200.300048828125,252063010253.90625
2018-09-01,GC=F,Gold,1191.5,250215000000.0
2018-10-01,GC=F,Gold,1212.300048828125,254583010253.90625
2018-11-01,GC=F,Gold,1220.199951171875,256241989746.09375
2018-12-01,GC=F,Gold,1278.300048828125,268443010253.90625
2019-01-01,GC=F,Gold,1319.699951171875,277136989746.09375
2019-02-01,GC=F,Gold,1312.800048828125,275688010253.90625
2019-03-01,GC=F,Gold,1293.0,271530000000.0
2019-04-01,GC=F,Gold,1282.800048828125,269388010253.90625
2019-05-01,GC=F,Gold,1305.800048828125,274218010253.90625
2019-06-01,GC=F,Gold,1409.699951171875,296036989746.09375
2019-07-01,GC=F,Gold,1426.0999755859375,299480994873.0469
2019-08-01,GC=F,Gold,1519.0999755859375,319010994873.0469
2019-10-01,GC=F,Gold,1511.4000244140625,317394005126.9531
2019-11-01,GC=F,Gold,1465.5999755859375,307775994873.0469
2020-01-01,GC=F,Gold,1582.9000244140625,332409005126.9531
2020-02-01,GC=F,Gold,1564.0999755859375,328460994873.0469
2020-04-01,GC=F,Gold,1684.199951171875,353681989746.09375
2020-05-01,GC=F,Gold,1736.9000244140625,364749005126.9531
2020-06-01,GC=F,Gold,1793.0,376530000000.0
2020-07-01,GC=F,Gold,1962.800048828125,412188010253.90625
2020-08-01,GC=F,Gold,1967.5999755859373,413195994873.0468
2020-09-01,GC=F,Gold,1887.5,396375000000.0
2020-10-01,GC=F,Gold,1877.4000244140625,394254005126.9531
2020-12-01,GC=F,Gold,1893.0999755859373,397550994873.0468
2021-01-01,GC=F,Gold,1847.300048828125,387933010253.90625
2021-02-01,GC=F,Gold,1728.0999755859375,362900994873.0469
2021-03-01,GC=F,Gold,1713.800048828125,359898010253.90625
2021-04-01,GC=F,Gold,1767.300048828125,371133010253.90625
2021-05-01,GC=F,Gold,1902.5,399525000000.0
2021-06-01,GC=F,Gold,1770.800048828125,371868010253.90625
2021-07-01,GC=F,Gold,1812.5999755859373,380645994873.0468
2021-09-01,GC=F,Gold,1755.300048828125,368613010253.90625
2021-10-01,GC=F,Gold,1783.0,374430000000.0
2021-11-01,GC=F,Gold,1773.5999755859375,372455994873.0469
2021-12-01,GC=F,Gold,1827.5,383775000000.0
2022-01-01,GC=F,Gold,1795.0,376950000000.0
2022-02-01,GC=F,Gold,1899.4000244140625,398874005126.9531
2022-03-01,GC=F,Gold,1949.199951171875,409331989746.09375
2022-04-01,GC=F,Gold,1909.300048828125,400953010253.90625
2022-06-01,GC=F,Gold,1804.0999755859373,378860994873.0468
2022-07-01,GC=F,Gold,1762.9000244140625,370209005126.9531
2022-08-01,GC=F,Gold,1712.800048828125,359688010253.90625
2022-09-01,GC=F,Gold,1662.4000244140625,349104005126.9531
2022-10-01,GC=F,Gold,1635.9000244140625,343539005126.9531
2022-11-01,GC=F,Gold,1746.0,366660000000.0
2022-12-01,GC=F,Gold,1819.699951171875,382136989746.09375
2023-02-01,GC=F,Gold,1828.9000244140625,384069005126.9531
2023-03-01,GC=F,Gold,1969.0,413490000000.0
2023-04-01,GC=F,Gold,1990.0999755859373,417920994873.0468
2023-05-01,GC=F,Gold,1963.9000244140625,412419005126.9531
2023-06-01,GC=F,Gold,1921.0999755859373,403430994873.0468
2023-07-01,GC=F,Gold,1970.5,413805000000.0
2023-08-01,GC=F,Gold,1938.199951171875,407021989746.09375
2023-09-01,GC=F,Gold,1848.0999755859373,388100994873.0468
2023-11-01,GC=F,Gold,2038.0999755859373,428000994873.0468
2023-12-01,GC=F,Gold,2062.39990234375,433103979492.1875
2024-01-01,GC=F,Gold,2048.39990234375,430163979492.1875
2024-02-01,GC=F,Gold,2045.699951171875,429596989746.09375
2024-03-01,GC=F,Gold,2217.39990234375,465653979492.1875
2024-04-01,GC=F,Gold,2291.39990234375,481193979492.1875
2024-05-01,GC=F,Gold,2322.89990234375,487808979492.1875
2024-06-01,GC=F,Gold,2327.699951171875,488816989746.09375
2024-07-01,GC=F,Gold,2426.5,509565000000.0
2024-08-01,GC=F,Gold,2493.800048828125,523698010253.90625
2024-10-01,GC=F,Gold,2738.300048828125,575043010253.9062
2024-11-01,GC=F,Gold,2657.0,557970000000.0
2025-01-01,GC=F,Gold,2812.5,590625000000.0
2025-02-01,GC=F,Gold,2836.800048828125,595728010253.9062
2025-03-01,GC=F,Gold,3122.800048828125,655788010253.9062
2025-04-01,GC=F,Gold,3305.0,694050000000.0
2025-05-01,GC=F,Gold,3288.89990234375,690668979492.1875
2025-07-01,GC=F,Gold,3293.199951171875,691571989746.0938
2025-08-01,GC=F,Gold,3473.699951171875,729476989746.0938
2025-09-01,GC=F,Gold,3840.800048828125,806568010253.9062
2025-10-01,GC=F,Gold,3982.199951171875,836261989746.0938
2025-11-01,GC=F,Gold,4218.2998046875,885842958984.375
2025-12-01,GC=F,Gold,4325.60009765625,908376020507.8125
2026-01-01,GC=F,Gold,4713.89990234375,989918979492.1875
2016-01-01,SI=F,Silver,14.229000091552734,24900750160.217285
2016-02-01,SI=F,Silver,14.895999908447266,26067999839.782715
2016-03-01,SI=F,Silver,15.460000038146973,27055000066.757202
2016-04-01,SI=F,Silver,17.788999557495117,31130749225.616455
2016-06-01,SI=F,Silver,18.582000732421875,32518501281.73828
2016-07-01,SI=F,Silver,20.312000274658203,35546000480.651855
2016-08-01,SI=F,Silver,18.621999740600582,32588499546.051018
2016-09-01,SI=F,Silver,19.138999938964844,33493249893.188477
