date,label,market_cap,asset_type,source,confidence,sector,region,rank
2023-11-01,Saudi Aramco,1876583619405.1616,company,yfinance + FX,Medium,Energy,Middle East,4
2023-12-01,Saudi Aramco,1890715551875.204,company,yfinance + FX,Medium,Energy,Middle East,4
2024-01-01,Saudi Aramco,1753209035619.2527,company,yfinance + FX,Medium,Energy,Middle East,5
2024-02-01,Saudi Aramco,1816232993960.2664,company,yfinance + FX,Medium,Energy,Middle East,7
2024-03-01,Saudi Aramco,1767532500360.5652,company,yfinance + FX,Medium,Energy,Middle East,7
2024-04-01,Saudi Aramco,1750865748377.4824,company,yfinance + FX,Medium,Energy,Middle East,6
2024-05-01,Saudi Aramco,1689788973287.557,company,yfinance + FX,Medium,Energy,Middle East,7
2024-06-01,Saudi Aramco,1637723686999.3083,company,yfinance + FX,Medium,Energy,Middle East,7
2024-07-01,Saudi Aramco,1631811404390.5642,company,yfinance + FX,Medium,Energy,Middle East,7
2024-08-01,Saudi Aramco,1652504762562.1543,company,yfinance + FX,Medium,Energy,Middle East,7
2024-09-01,Saudi Aramco,1630082324361.674,company,yfinance + FX,Medium,Energy,Middle East,6
2024-10-01,Saudi Aramco,1624067202331.7463,company,yfinance + FX,Medium,Energy,Middle East,7
2024-11-01,Saudi Aramco,1651135128452.7588,company,yfinance + FX,Medium,Energy,Middle East,7
2024-12-01,Saudi Aramco,1716747171222.3308,company,yfinance + FX,Medium,Energy,Middle East,5
2025-01-01,Saudi Aramco,1701446485952.454,company,yfinance + FX,Medium,Energy,Middle East,8
2025-02-01,Saudi Aramco,1658604394977.6711,company,yfinance + FX,Medium,Energy,Middle East,8
2025-03-01,Saudi Aramco,1637183287983.4497,company,yfinance + FX,Medium,Energy,Middle East,8
2025-04-01,Saudi Aramco,1571556852615.4578,company,yfinance + FX,Medium,Energy,Middle East,7
2025-05-01,Saudi Aramco,1549858718855.0825,company,yfinance + FX,Medium,Energy,Middle East,7
