date,label,market_cap,asset_type,source,confidence,sector,region,rank
2025-06-01,Saudi Aramco,1527080771172.2815,company,yfinance + FX,Medium,Energy,Middle East,6
2025-07-01,Saudi Aramco,1525824924699.9614,company,yfinance + FX,Medium,Energy,Middle East,8
2025-08-01,Saudi Aramco,1494429254946.5942,company,yfinance + FX,Medium,Energy,Middle East,8
2025-09-01,Saudi Aramco,1567504659585.317,company,yfinance + FX,Medium,Energy,Middle East,9
2025-10-01,Saudi Aramco,1648999611285.604,company,yfinance + FX,Medium,Energy,Middle East,8
2025-11-01,Saudi Aramco,1562411278922.526,company,yfinance + FX,Medium,Energy,Middle East,9
2025-12-01,Saudi Aramco,1536905995346.12,company,yfinance + FX,Medium,Energy,Middle East,10
2026-01-01,Saudi Aramco,1663960286794.5354,company,yfinance + FX,Medium,Energy,Middle East,9
2026-02-01,Saudi Aramco,1609784824153.4424,company,yfinance + FX,Medium,Energy,Middle East,7
2016-01-01,Silver,801092705154.419,metal,yfinance,Medium,,,2
2016-02-01,Silver,838644794845.581,metal,yfinance,Medium,,,2
2016-03-01,Silver,870398002147.6746,metal,yfinance,Medium,,,2
2016-04-01,Silver,1001520675086.9752,metal,yfinance,Medium,,,2
2016-06-01,Silver,1046166641235.3516,metal,yfinance,Medium,,,2
2016-07-01,Silver,1143565615463.2568,metal,yfinance,Medium,,,2
2016-08-01,Silver,1048418585395.813,metal,yfinance,Medium,,,2
2016-09-01,Silver,1077525696563.7208,metal,yfinance,Medium,,,2
2016-10-01,Silver,1000000551033.02,metal,yfinance,Medium,,,2
2016-11-01,Silver,923657807731.6284,metal,yfinance,Medium,,,2
2016-12-01,Silver,897196792697.9065,metal,yfinance,Medium,,,2
2017-02-01,Silver,1037046004295.3492,metal,yfinance,Medium,,,3
2017-03-01,Silver,1026630534362.793,metal,yfinance,Medium,,,3
2017-04-01,Silver,967853299140.9302,metal,yfinance,Medium,,,2
2017-05-01,Silver,977818401718.1396,metal,yfinance,Medium,,,2
