date,ticker,price_local_currency,currency,conversion_rate,price_usd,shares,market_cap_usd
2016-01-01,SAP,68.26861572265625,EUR,0.92,74.20501708984375,1164604232,86419476938.46436
2016-02-01,SAP,64.45309448242188,EUR,0.92,70.05771139393681,1164604232,81589507173.61343
2016-03-01,SAP,68.79901885986328,EUR,0.92,74.78154223898183,1164604232,87090900567.00499
2016-04-01,SAP,67.25912475585938,EUR,0.92,73.10774429984714,1164604232,85141588403.57585
2016-05-01,SAP,69.35508728027344,EUR,0.92,75.38596443507981,1164604232,87794813214.49544
2016-06-01,SAP,65.2712173461914,EUR,0.92,70.946975376295,1164604232,82625147770.83295
2016-07-01,SAP,76.03373718261719,EUR,0.92,82.64536650284477,1164604232,96249143584.40405
2016-08-01,SAP,76.53837585449219,EUR,0.92,83.19388679836106,1164604232,96887952641.90022
2016-09-01,SAP,79.53135681152344,EUR,0.92,86.4471269690472,1164604232,100676689912.3937
2016-10-01,SAP,76.4252700805664,EUR,0.92,83.0709457397461,1164604232,96744774964.75067
2016-11-01,SAP,72.4056396484375,EUR,0.92,78.7017822265625,1164604232,91656428646.99707
2016-12-01,SAP,75.1985092163086,EUR,0.92,81.73751001772673,1164604232,95191850079.78696
2017-01-01,SAP,79.61835479736328,EUR,0.92,86.541689997134,1164604232,100786818415.09433
2017-02-01,SAP,81.07135009765625,EUR,0.92,88.12103271484375,1164604232,102626127627.91748
2017-03-01,SAP,85.41290283203125,EUR,0.92,92.840111773947,1164604232,108121987071.2917
2017-04-01,SAP,87.16169738769531,EUR,0.92,94.74097542140794,1164604232,110335740919.57967
2017-05-01,SAP,93.58267974853516,EUR,0.92,101.72030407449473,1164604232,118463896605.48341
2017-06-01,SAP,92.25589752197266,EUR,0.92,100.27814948040506,1164604232,116784357262.00833
2017-07-01,SAP,93.2959442138672,EUR,0.92,101.40863501507305,1164604232,118100925499.89745
2017-08-01,SAP,92.502685546875,EUR,0.92,100.54639733355978,1164604232,117096759847.01724
2017-09-01,SAP,96.645263671875,EUR,0.92,105.04919964334239,1164604232,122340742472.84944
2017-10-01,SAP,100.65560913085938,EUR,0.92,109.40827079441236,1164604232,127417335182.97464
2017-11-01,SAP,99.90643310546876,EUR,0.92,108.59394902768344,1164604232,126468972607.23242
2017-12-01,SAP,99.03384399414062,EUR,0.92,107.64548260232677,1164604232,125364384594.35213
2018-01-01,SAP,99.81829071044922,EUR,0.9,110.90921190049913,1164604232,129165337547.10605
2018-02-01,SAP,92.1060562133789,EUR,0.9,102.34006245930989,1164604232,119185669843.25662
2018-03-01,SAP,92.6877899169922,EUR,0.9,102.98643324110245,1164604232,119938435991.17339
2018-04-01,SAP,97.685302734375,EUR,0.9,108.53922526041666,1164604232,126405241076.28255
2018-05-01,SAP,99.412841796875,EUR,0.9,110.45871310763889,1164604232,128640684746.43011
2018-06-01,SAP,103.5029067993164,EUR,0.9,115.00322977701822,1164604232,133933248091.98384
2018-07-01,SAP,103.84296417236328,EUR,0.9,115.38107130262587,1164604232,134373283931.73184
2018-08-01,SAP,107.15406036376952,EUR,0.9,119.06006707085501,1164604232,138657857972.9216
2018-09-01,SAP,110.07139587402344,EUR,0.9,122.30155097113715,1164604232,142432903841.15002
2018-10-01,SAP,95.98583984375,EUR,0.9,106.65093315972221,1164604232,124206128104.56163
2018-11-01,SAP,92.78214263916016,EUR,0.9,103.09126959906683,1164604232,120060528857.32617
2018-12-01,SAP,89.08625030517578,EUR,0.9,98.98472256130643,1164604232,115278026798.24335
2019-01-01,SAP,92.54946899414062,EUR,0.9,102.83274332682291,1164604232,119759448066.58772
2019-02-01,SAP,95.86949157714844,EUR,0.9,106.5216573079427,1164604232,124055572900.4838
2019-03-01,SAP,103.3239288330078,EUR,0.9,114.80436537000867,1164604232,133701649761.98634
2019-04-01,SAP,115.31546020507812,EUR,0.9,128.12828911675348,1164604232,149218747744.29065
2019-05-01,SAP,110.14299774169922,EUR,0.9,122.38110860188802,1164604232,142525556994.61038
2019-06-01,SAP,124.08889770507812,EUR,0.9,137.87655300564236,1164604232,160571617123.94342
2019-07-01,SAP,111.59835815429688,EUR,0.9,123.99817572699652,1164604232,144408800211.93982
2019-08-01,SAP,108.0788803100586,EUR,0.9,120.087644788954,1164604232,139854579332.12857
2019-09-01,SAP,106.91781616210938,EUR,0.9,118.79757351345486,1164604232,138352156865.10065
2019-10-01,SAP,120.2610092163086,EUR,0.9,133.6233435736762,1164604232,155618311419.8933
2019-11-01,SAP,123.31786346435548,EUR,0.9,137.0198482937283,1164604232,159573895190.87396
2019-12-01,SAP,121.54000091552734,EUR,0.9,135.04444546169705,1164604232,157273332692.78558
2020-01-01,SAP,118.6191864013672,EUR,0.9,131.7990960015191,1164604232,153493784977.14343
2020-02-01,SAP,112.08818817138672,EUR,0.9,124.5424313015408,1164604232,145042642557.3437
2020-03-01,SAP,100.2326202392578,EUR,0.9,111.36957804361977,1164604232,129701481905.65387
2020-04-01,SAP,107.52557373046876,EUR,0.9,119.47285970052084,1164604232,139138598016.36884
2020-05-01,SAP,116.1972885131836,EUR,0.9,129.10809834798178,1164604232,150359837721.5318
2020-06-01,SAP,128.8248748779297,EUR,0.9,143.1387498643663,1164604232,166699993855.23044
2020-07-01,SAP,146.5106964111328,EUR,0.9,162.78966267903647,1164604232,189585530081.85834
2020-08-01,SAP,152.2065887451172,EUR,0.9,169.1184319390191,1164604232,196956041545.38562
2020-09-01,SAP,143.3728790283203,EUR,0.9,159.3031989203559,1164604232,185525179633.7843
2020-10-01,SAP,98.30258178710938,EUR,0.9,109.22509087456596,1164604232,127204003073.10411
2020-11-01,SAP,111.4887237548828,EUR,0.9,123.87635972764755,1164604232,144266932783.57272
2020-12-01,SAP,119.98196411132812,EUR,0.9,133.31329345703125,1164604232,155257225741.9165
2021-01-01,SAP,116.12642669677734,EUR,0.9,129.02936299641928,1164604232,150268142197.8941
2021-02-01,SAP,113.50391387939452,EUR,0.9,126.1154598659939,1164604232,146874598280.56265
2021-03-01,SAP,112.98861694335938,EUR,0.9,125.54290771484375,1164604232,146207801622.29248
2021-04-01,SAP,128.76966857910156,EUR,0.9,143.07740953233505,1164604232,166628556644.95456
2021-05-01,SAP,128.7604522705078,EUR,0.9,143.06716918945312,1164604232,166616630698.29712
2021-06-01,SAP,131.3704376220703,EUR,0.9,145.96715291341147,1164604232,169993964015.95013
2021-07-01,SAP,134.41949462890625,EUR,0.9,149.35499403211804,1164604232,173939458120.1394
2021-08-01,SAP,140.4240264892578,EUR,0.94,149.3872622226147,1164604232,173977037791.35083
2021-09-01,SAP,126.30118560791016,EUR,0.94,134.36296341267038,1164604232,156479675814.4571
